Industry Name,Industry Sector,SIC Code
"Footwear, except rubber, nec",Manufacturing,3149
Leather gloves and mittens,Manufacturing,315
Luggage,Manufacturing,316
Handbags and personal leather goods,Manufacturing,317
Women's handbags and purses,Manufacturing,3171
"Personal leather goods, nec",Manufacturing,3172
"Leather goods, nec",Manufacturing,319
"Leather goods, not elsewhere classified",Manufacturing,3199
"Stone, clay, and glass products",Manufacturing,32
Flat glass,Manufacturing,321
"Glass and glassware, pressed or blown",Manufacturing,322
Glass containers,Manufacturing,3221
"Pressed and blown glass, nec",Manufacturing,3229
Products of purchased glass,Manufacturing,323
"Glass products, made of purchased glass",Manufacturing,3231
"Cement, hydraulic",Manufacturing,324
Structural clay products,Manufacturing,325
Brick and structural clay tile,Manufacturing,3251
Ceramic wall and floor tile,Manufacturing,3253
Clay refractories,Manufacturing,3255
"Structural clay products, nec",Manufacturing,3259
Pottery and related products,Manufacturing,326
Vitreous plumbing fixtures,Manufacturing,3261
Vitreous china table & kitchenware,Manufacturing,3262
Semivitreous table & kitchenware,Manufacturing,3263
Porcelain electrical supplies,Manufacturing,3264
"Pottery products, nec",Manufacturing,3269
"Concrete, gypsum, and plaster products",Manufacturing,327
Concrete block and brick,Manufacturing,3271
"Concrete products, nec",Manufacturing,3272
Ready-mixed concrete,Manufacturing,3273
Lime,Manufacturing,3274
Gypsum products,Manufacturing,3275
Cut stone and stone products,Manufacturing,328
Misc. nonmetallic mineral products,Manufacturing,329
Abrasive products,Manufacturing,3291
Asbestos products,Manufacturing,3292
"Minerals, ground or treated",Manufacturing,3295
Mineral wool,Manufacturing,3296
Nonclay refractories,Manufacturing,3297
"Nonmetallic mineral products, nec",Manufacturing,3299
Primary metal industries,Manufacturing,33
Blast furnace and basic steel products,Manufacturing,331
Blast furnaces and steel mills,Manufacturing,3312
Electrometallurgical products,Manufacturing,3313
Steel wire and related products,Manufacturing,3315
Cold finishing of steel shapes,Manufacturing,3316
Steel pipe and tubes,Manufacturing,3317
Iron and steel foundries,Manufacturing,332
Gray and ductile iron foundries,Manufacturing,3321
Malleable iron foundries,Manufacturing,3322
Steel investment foundries,Manufacturing,3324
"Steel foundries, nec",Manufacturing,3325
Primary nonferrous metals,Manufacturing,333
Primary copper,Manufacturing,3331
Primary aluminum,Manufacturing,3334
"Primary nonferrous metals, nec",Manufacturing,3339
Secondary nonferrous metals,Manufacturing,334
Secondary smelting and refining of nonferrous metals,Manufacturing,3341
Nonferrous rolling and drawing,Manufacturing,335
Copper rolling and drawing,Manufacturing,3351
"Aluminum sheet, plate, and foil",Manufacturing,3353
Aluminum extruded products,Manufacturing,3354
"Aluminum rolling and drawing, nec",Manufacturing,3355
"Nonferrous rolling and drawing, nec",Manufacturing,3356
Nonferrous wiredrawing & insulating,Manufacturing,3357
Nonferrous foundries (castings),Manufacturing,336
Aluminum die-castings,Manufacturing,3363
Nonferrous die-casting exc. aluminum,Manufacturing,3364
Aluminum foundries,Manufacturing,3365
Copper foundries,Manufacturing,3366
"Nonferrous foundries, nec",Manufacturing,3369
Miscellaneous primary metal products,Manufacturing,339
Metal heat treating,Manufacturing,3398
"Primary metal products, nec",Manufacturing,3399
Fabricated metal products,Manufacturing,34
Metal cans and shipping containers,Manufacturing,341
Metal cans,Manufacturing,3411
"Metal barrels, drums, and pails",Manufacturing,3412
"Cutlery, handtools, and hardware",Manufacturing,342
Cutlery,Manufacturing,3421
"Hand and edge tools, nec",Manufacturing,3423
Saw blades and handsaws,Manufacturing,3425
"Hardware, nec",Manufacturing,3429
"Plumbing and heating, except electric",Manufacturing,343
Metal sanitary ware,Manufacturing,3431
Plumbing fixture fittings and trim,Manufacturing,3432
"Heating equipment, except electric",Manufacturing,3433
Fabricated structural metal products,Manufacturing,344
Fabricated structural metal,Manufacturing,3441
"Metal doors, sash, and trim",Manufacturing,3442
Fabricated plate work (boiler shops),Manufacturing,3443
Sheet metalwork,Manufacturing,3444
Architectural metal work,Manufacturing,3446
Prefabricated metal buildings,Manufacturing,3448
Miscellaneous metal work,Manufacturing,3449
"Screw machine products, bolts, etc.",Manufacturing,345
Screw machine products,Manufacturing,3451
"Bolts, nuts, rivets, and washers",Manufacturing,3452
Metal forgings and stampings,Manufacturing,346
Iron and steel forgings,Manufacturing,3462
Nonferrous forgings,Manufacturing,3463
Automotive stampings,Manufacturing,3465
Crowns and closures,Manufacturing,3466
"Metal stampings, nec",Manufacturing,3469
"Metal services, nec",Manufacturing,347
Plating and polishing,Manufacturing,3471
Metal coating and allied services,Manufacturing,3479
"Ordnance and accessories, nec",Manufacturing,348
Small arms ammunition,Manufacturing,3482
"Ammunition, exc. for small arms, nec",Manufacturing,3483
Small arms,Manufacturing,3484
"Ordnance and accessories, nec",Manufacturing,3489
Misc. fabricated metal products,Manufacturing,349
Industrial valves,Manufacturing,3491
Fluid power valves & hose fittings,Manufacturing,3492
"Steel springs, except wire",Manufacturing,3493
"Valves and pipe fittings, nec",Manufacturing,3494
Wire springs,Manufacturing,3495
Misc. fabricated wire products,Manufacturing,3496
Metal foil and leaf,Manufacturing,3497
Fabricated pipe and fittings,Manufacturing,3498
"Fabricated metal products, nec",Manufacturing,3499
Industrial machinery and equipment,Manufacturing,35
Engines and turbines,Manufacturing,351
Turbines and turbine generator sets,Manufacturing,3511
"Internal combustion engines, nec",Manufacturing,3519
Farm and garden machinery,Manufacturing,352
Farm machinery and equipment,Manufacturing,3523
Lawn and garden equipment,Manufacturing,3524
Construction and related machinery,Manufacturing,353
Construction machinery,Manufacturing,3531
Mining machinery,Manufacturing,3532
Oil and gas field machinery,Manufacturing,3533
Elevators and moving stairways,Manufacturing,3534
Conveyors and conveying equipment,Manufacturing,3535
"Hoists, cranes, and monorails",Manufacturing,3536
Industrial trucks and tractors,Manufacturing,3537
Metalworking machinery,Manufacturing,354
"Machine tools, metal cutting types",Manufacturing,3541
"Machine tools, metal forming types",Manufacturing,3542
Industrial patterns,Manufacturing,3543
"Special dies, tools, jigs & fixtures",Manufacturing,3544
Machine tool accessories,Manufacturing,3545
Power-driven handtools,Manufacturing,3546
Rolling mill machinery,Manufacturing,3547
Welding apparatus,Manufacturing,3548
"Metalworking machinery, nec",Manufacturing,3549
Special industry machinery,Manufacturing,355
Textile machinery,Manufacturing,3552
Woodworking machinery,Manufacturing,3553
Paper industries machinery,Manufacturing,3554
Printing trades machinery,Manufacturing,3555
Food products machinery,Manufacturing,3556
"Special industry machinery, nec",Manufacturing,3559
General industrial machinery,Manufacturing,356
Pumps and pumping equipment,Manufacturing,3561
Ball and roller bearings,Manufacturing,3562
Air and gas compressors,Manufacturing,3563
Blowers and fans,Manufacturing,3564
Packaging machinery,Manufacturing,3565
"Speed changers, drives, and gears",Manufacturing,3566
Industrial furnaces and ovens,Manufacturing,3567
