"County
Number","District
Number","School
Number","County
Name",District Name,School Name,Enrollment,Number tested,"Percent
tested","Average
score",Total scores above 21,Percent scores above 21,,,
06,61614,0635250,Colusa,Pierce Joint Unified,Pierce High,89,11,12.4,    19.4,       5,     5.6,,,
06,61622,0630038,Colusa,Williams Unified,Mid Valley High (Cont.),10,0,0,    0,       0,     0.0,,,
06,61622,0637504,Colusa,Williams Unified,Williams High,58,3,5.2,NA,NA,NA,,,
07,10074,0730242,Contra Costa,Contra Costa Co. Off. of Education,Contra Costa County Court,34,0,0,    0,       0,     0.0,,,
07,10074,0730556,Contra Costa,Contra Costa Co. Off. of Education,Edgar Center,1,0,0,    0,       0,     0.0,,,
07,10074,0730614,Contra Costa,Contra Costa Co. Off. of Education,Golden Gate Community,26,0,0,    0,       0,     0.0,,,
07,10074,6077168,Contra Costa,Contra Costa Co. Off. of Education,Special Education,111,0,0,    0,       0,     0.0,,,
07,61630,0730283,Contra Costa,Acalanes Union High,Acalanes High,293,89,30.4,    25.3,      81,    27.6,,,
07,61630,0731125,Contra Costa,Acalanes Union High,Campolindo High,355,117,33,    25.3,     100,    28.2,,,
07,61630,0732404,Contra Costa,Acalanes Union High,Del Oro High (Cont),49,1,2,NA,NA,NA,,,
07,61630,0733725,Contra Costa,Acalanes Union High,Las Lomas High,362,57,15.7,    24.9,      49,    13.5,,,
07,61630,0734244,Contra Costa,Acalanes Union High,Miramonte High,317,55,17.4,    25.5,      51,    16.1,,,
07,61648,0730101,Contra Costa,Antioch Unified,Live Oak High (Cont.),136,1,0.7,NA,NA,NA,,,
07,61648,0730259,Contra Costa,Antioch Unified,Prospects High (Alter.),294,1,0.3,NA,NA,NA,,,
07,61648,0730465,Contra Costa,Antioch Unified,Deer Valley High,717,69,9.6,    22.5,      45,     6.3,,,
07,61648,0730481,Contra Costa,Antioch Unified,Bridges (Community Day),1,0,0,    0,       0,     0.0,,,
