"County
Number","District
Number","School
Number",County Name,District Name,School Name,Enrollment,"Number
tested","Percent
tested",Verbal,Critical reading,Math,Writing,Total,Total scores above 1500,Percent scores above 1500,Total scores above 1000,Percent scores above 1000,,,,
06,61598,0630046,Colusa,Colusa Unified,Colusa Alternative Home,6,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
06,61598,0631259,Colusa,Colusa Unified,Colusa High,75,      31,    41.3,   476.5,NA,   491.0,NA,   967.4,NA,NA,      15,    20.0,,,,
06,61606,0634758,Colusa,Maxwell Unified,Maxwell High,27,      16,    59.3,   422.5,NA,   401.9,NA,   824.4,NA,NA,       3,    11.1,,,,
06,61606,0630095,Colusa,Maxwell Unified,Prine (Enid) High (Continuation),4,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
06,61614,0630087,Colusa,Pierce Joint Unified,Arbuckle Alternative High (Continuation),4,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
06,61614,0635250,Colusa,Pierce Joint Unified,Pierce High,85,      27,    31.8,   439.3,NA,   481.9,NA,   921.1,NA,NA,       8,     9.4,,,,
06,61622,0630038,Colusa,Williams Unified,Mid Valley High (Continuation),5,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
06,61622,0637504,Colusa,Williams Unified,Williams High,65,      14,    21.5,   417.1,NA,   445.0,NA,   862.1,NA,NA,       2,     3.1,,,,
07,61630,0107524,Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,15,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61630,0730283,Contra Costa,Acalanes Union High,Acalanes High,294,     234,    79.6,   593.7,NA,   616.1,NA,  1209.7,NA,NA,     202,    68.7,,,,
07,61630,0731125,Contra Costa,Acalanes Union High,Campolindo High,347,     302,    87.0,   595.1,NA,   621.1,NA,  1216.2,NA,NA,     273,    78.7,,,,
07,61630,0732404,Contra Costa,Acalanes Union High,Del Oro High (Continuation),27,       2,     7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61630,0733725,Contra Costa,Acalanes Union High,Las Lomas High,406,     280,    69.0,   561.1,NA,   572.7,NA,  1133.8,NA,NA,     223,    54.9,,,,
07,61630,0734244,Contra Costa,Acalanes Union High,Miramonte High,329,     330,   100.3,   611.5,NA,   617.1,NA,  1228.6,NA,NA,     306,    93.0,,,,
07,61648,0730861,Contra Costa,Antioch Unified,Antioch High,573,     139,    24.3,   497.5,NA,   496.5,NA,   994.0,NA,NA,      68,    11.9,,,,
07,61648,0730481,Contra Costa,Antioch Unified,Bridges (Community Day),2,       1,    50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
07,61648,0730465,Contra Costa,Antioch Unified,Deer Valley High,709,     326,    46.0,   487.9,NA,   502.7,NA,   990.7,NA,NA,     153,    21.6,,,,
07,61648,0730101,Contra Costa,Antioch Unified,Live Oak High (Continuation),150,       0,     0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
